username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
Dave Neville,DnevsCG,2018-03-02 12:25,0,16,"I don’t fly them often but gotta admit @SouthwestAir is an extremely well run airline. Efficient, consistent, friendly.",,@SouthwestAir,,"969594444646354946",https://twitter.com/DnevsCG/status/969594444646354946
Norfolk Airport,NorfolkAirport,2018-03-02 11:39,12,4,"Flight cancellations are mounting as winter storm conditions in the mid-Atlantic and Northeast continue. Travelers should confirm flight status/rebooking options with their airline. @Allegiant @AmericanAir @Delta @SouthwestAir @united pic.twitter.com/mJmza6hEPs",,@Allegiant @AmericanAir @Delta @SouthwestAir @united,,"969582964651806720",https://twitter.com/NorfolkAirport/status/969582964651806720
Tasler Photo,TaslerPhoto,2018-03-02 11:04,8,127,"I did catch a @SouthwestAir 737 departing from @KCIAirport this morning though. pic.twitter.com/nAwnqWKzJG",,@SouthwestAir @KCIAirport,,"969574260011425792",https://twitter.com/TaslerPhoto/status/969574260011425792
Tori Brown,torinoelle7,2018-03-02 10:17,1,13,"Y’all I fly ALL the time for work and no airline is better than @SouthwestAir . I had to cancel the first leg of my flight today because of this crazy wind and not only did they credit my account with the cost of the flight, it only took me TWO MINUTES to speak to a real human.",,@SouthwestAir,,"969562338956382208",https://twitter.com/torinoelle7/status/969562338956382208
Kris Van Cleave,krisvancleave,2018-03-02 08:05,10,6,". @AmericanAir cancels 11% if it’s flights (nearly 700 so far) due to NE storm. Bulk of cancels from DC to BOS. Delta cancels 300 due to storm. @united cancelling too. Cancelations are heavy on the regional side for the majors. @SouthwestAir cancels at BWI & BUF too",,@AmericanAir @united @SouthwestAir,,"969529122958512128",https://twitter.com/krisvancleave/status/969529122958512128
puppy,AshlySchwan,2018-03-02 05:20,9,240,"no seriously @SouthwestAir just delay my flight one hour, then when we land keep me in the plane for an hour, and don’t forget to leave my luggage in vegas! it’s like you knew i didn’t want all of my favorite belongings! (;",,@SouthwestAir,,"969487484932448257",https://twitter.com/AshlySchwan/status/969487484932448257
Brian Hawkins,Brian_Hawkins,2018-03-02 02:27,8,22,"Moonrise passed through the approach glide slope at LAX this evening and I was able to get this shot of a @SouthwestAir jet perfectly lined up. #SWApic pic.twitter.com/5bG0Ril8zq",,@SouthwestAir,#SWApic,"969444049030545408",https://twitter.com/Brian_Hawkins/status/969444049030545408
🏳️‍🌈Scheana,scheana,2018-03-02 01:33,2,114,"I swear @SouthwestAir has the funniest flight attendants! @chesterlockhart",,@SouthwestAir @chesterlockhart,,"969430557292507136",https://twitter.com/scheana/status/969430557292507136
Marky Mark,DCCelebrity,2018-03-02 01:15,4,8,"SPOTTED @RandPaul waiting for his @SouthwestAir flight this afternoon @Reagan_Airport @edhenry @betsyscribeindc @tkradio @eScarry pic.twitter.com/kDurcDtr81",,@RandPaul @SouthwestAir @Reagan_Airport @edhenry @betsyscribeindc @tkradio @eScarry,,"969425896464637952",https://twitter.com/DCCelebrity/status/969425896464637952
POWER 96.1,POWERATL,2018-03-02 00:50,4,10,"Listen to win passes to see and meet @WhyDontWeMusic live on Power 96.1's @SouthwestAir Soundstage all week at 6:00pm, 8:00pm, 9:00pm, 10:00pm & 11:00pm! http://www. Power961.com/Listen @MackOnTheRadio #MostFreeTickets RT pic.twitter.com/fD6AZzX1oi",,@WhyDontWeMusic @SouthwestAir @MackOnTheRadio,#MostFreeTickets,"969419662202093569",https://twitter.com/POWERATL/status/969419662202093569
Amy Shira Teitel,astVintageSpace,2018-03-01 22:41,6,121,"*sigh* My direct flight was cancelled 18 hours from takeoff. No refund, just credit with an airline I'm currently annoyed with. Thanks for coming to my rescue, @SouthwestAir . I paid twice as much for a ticket with two connections, but at least I can get home! #travelproblems",,@SouthwestAir,#travelproblems,"969387270783586304",https://twitter.com/astVintageSpace/status/969387270783586304
Ash 🥑🍞,ashleeeeean,2018-03-01 19:44,1,15,"Only the classiest of meals for my 25th birthday in the air shout out to @SouthwestAir for delaying my flight as I was late AF today to the airport. pic.twitter.com/uGvwwo9PTD",,@SouthwestAir,,"969342730068361217",https://twitter.com/ashleeeeean/status/969342730068361217
SoundsLikeNashville,SoundsLikeNash,2018-03-01 18:00,4,32,". @carlypearce found out about her #ACMAwards nomination at 35,000 feet with @SouthwestAir ! http:// ow.ly/uYBM30iHcTz",,@carlypearce @SouthwestAir,#ACMAwards,"969316439835463680",https://twitter.com/SoundsLikeNash/status/969316439835463680
Matthew Loxton,mloxton,2018-03-01 17:05,23,98,"Dear @SouthwestAir sure you know this, but if I ever collapse on one of your flights and a female emergency medicine physician and male nurse offer to help, please start with the EM physician, k? P.s. maybe tell crew routinely that medicine isn't done with one's genitals https:// twitter.com/choo_ek/status /968992382535397376 …",,@SouthwestAir,,"969302641879560192",https://twitter.com/mloxton/status/969302641879560192
rashesh jethi,RasheshJethi,2018-03-01 15:30,11,11,"“Gratitude” “Service” “Culture” - words we rarely hear from leaders today, but come naturally to Gary Kelly CEO @SouthwestAir speaking @USChamber #Aviation18 summit today. We at @AmadeusITGroup are proud to be your #TravelTech partner, sir. pic.twitter.com/PGjpew4SI4",,@SouthwestAir @USChamber @AmadeusITGroup,#Aviation18 #TravelTech,"969278649043058688",https://twitter.com/RasheshJethi/status/969278649043058688
Kami Allen,TheMommaDiaries,2018-03-01 15:29,4,18,"Pool day at Disney’s #Boardwalk Resort before our @SouthwestAir flight home tonight #DisneySMMC pic.twitter.com/m2aupN7xWw",,@SouthwestAir,#Boardwalk #DisneySMMC,"969278551932522496",https://twitter.com/TheMommaDiaries/status/969278551932522496
Betsy Kling - WKYC Weather,BetsyKling,2018-03-01 14:49,1,109,"Phoenix bound on @southwestair #springtraining #gotribe http:// ift.tt/2GXgbIr pic.twitter.com/xC2WpWKGxU",,@southwestair,#springtraining #gotribe,"969268420008206337",https://twitter.com/BetsyKling/status/969268420008206337
Luck Journal,theluckjournal,2018-03-01 13:46,2,10,"Congrats to our @SouthwestAir Artist on the Rise winner @thomas_csorba ! You voted and now Thomas will be joining us in just a few short weeks at @LuckReunion . Get to know him over at https://www. luckjournal.com/2018-thomas-cs orba … #LuckFamily pic.twitter.com/KoESAdyMxC",,@SouthwestAir @thomas_csorba @LuckReunion,#LuckFamily,"969252570723225606",https://twitter.com/theluckjournal/status/969252570723225606
ashley juergens,ash_juergens,2018-03-01 08:52,1,18,"Later #ATX ! Off to #HD114 to finish out this #Primary ! Thx @SouthwestAir for always be there for us! #coffeetime #VictoryBound #DAL #campaignseason #wheelsup @JasonVillalba pic.twitter.com/dKbQPyNU9d",,@SouthwestAir @JasonVillalba,#ATX #HD114 #Primary #coffeetime #VictoryBound #DAL #campaignseason #wheelsup,"969178601328447488",https://twitter.com/ash_juergens/status/969178601328447488
taylor,whenurready,2018-03-01 00:24,3,13,"I just entered to win access to the @whydontwemusic @southwestair #soundstage @POWERATL [ PLEASE ENTER THOUGH THIS LINK! I GET 10 ENTRIES FOR EVERY ENTRY, IT WOULD SERIOUSLY MEAN THE WORLD! ] http:// ul.ink/B8JT-50087W_T",,@whydontwemusic @southwestair @POWERATL,#soundstage,"969050769482813441",https://twitter.com/whenurready/status/969050769482813441
